iter	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false	F1:use_weights=true	F1:use_weights=false
276	0.407198571	0.8159330882	0.784	0.8231890695	0.4681549573
277	0.407164601	0.8158581032	0.7838666667	0.8231297803	0.4680013128
278	0.4070117558	0.8157081332	0.7836	0.8230112273	0.467694326
279	0.406803738	0.8158581032	0.7838666667	0.8231297803	0.4680013128
280	0.4066343802	0.8160080732	0.7841333333	0.8232483673	0.4683087028
281	0.4062921398	0.8160830582	0.7842666667	0.8233076737	0.4684625493
282	0.4061083778	0.8162330282	0.7845333333	0.823426312	0.4687705457
283	0.4057743314	0.8163080132	0.7846666667	0.823485644	0.4689246958
284	0.4055578338	0.8163829982	0.7848	0.8235449846	0.4690789474
285	0.405346521	0.8167579232	0.7854666667	0.8238418157	0.4698517298
